AMEX
ARCA
BATS
BEX
BOX
BYX
CBOE
CBOE2
CDE
CFE
CHX
DRCTEDGE
ECBOT
EDGEA
GLOBEX
ICEUS
ISE
ISLAND
MEXI
NASDAQ
NASDAQOM
NSX
NYBOT
NYMEX
NYSE
NYSE BONDS
NYSELIFFE
OMEGA
ONE
PHLX
PINK
PSE
PSX
TSE
VENTURE
VWAP
